DateCreateIndicHopTension,ValeurIndicHopTension
2018-04-11,1390.0179640718563
2018-04-12,1367.3229166666667
2018-04-13,1330.7743055555557
2018-04-14,1213.9479166666667
2018-04-15,1216.4270833333333
2018-04-16,1303.9340277777778
2018-04-17,1299.1909722222222
2018-04-18,1323.8715277777778
2018-04-19,1322.4583333333333
2018-04-20,1287.5069444444443
2018-04-21,1206.8333333333333
2018-04-22,1203.732638888889
2018-04-23,1311.2881944444443
2018-04-24,1355.3146853146852
2018-04-25,1363.420138888889
2018-04-26,1323.6805555555557
2018-04-27,1248.40625
2018-04-28,1145.375
2018-04-29,1150.986111111111
2018-04-30,1221.3784722222222
2018-05-01,1170.451388888889
2018-05-02,1234.369337979094
2018-05-03,1244.6631944444443
2018-05-04,1217.3854166666667
2018-05-05,1121.732638888889
2018-05-06,1129.9756944444443
2018-05-07,1192.75
2018-05-08,1145.0590277777778
2018-05-09,1189.90625
2018-05-10,1165.90625
2018-05-11,1182.454861111111
2018-05-12,1139.954861111111
2018-05-13,1163.1805555555557
2018-05-14,1280.7118055555557
2018-05-15,1320.6631944444443
2018-05-16,1350.8506944444443
2018-05-17,1360.7003484320558
2018-05-18,1296.1597222222222
2018-05-19,1159.1319444444443
2018-05-20,1151.96875
2018-05-21,1164.65625
2018-05-22,1271.2395833333333
2018-05-23,1307.1180555555557
2018-05-24,1323.28125
2018-05-25,1291.8020833333333
2018-05-26,1194.1979166666667
2018-05-27,1194.1041666666667
2018-05-28,1285.9479166666667
2018-05-29,1323.6493055555557
2018-05-30,1331.017361111111
2018-05-31,1321.8958333333333
2018-06-01,1270.3229166666667
2018-06-02,1173.1180555555557
2018-06-03,1173.0034722222222
2018-06-04,1260.8090277777778
2018-06-05,1288.03125
2018-06-06,1300.8090277777778
2018-06-07,1294.2090592334496
2018-06-08,1223.076388888889
2018-06-09,1117.1354166666667
2018-06-10,1137.704861111111
2018-06-11,1264.201388888889
2018-06-12,1307.9097222222222
2018-06-13,1323.3645833333333
2018-06-14,1318.4006968641115
2018-06-15,1264.7604166666667
2018-06-16,1142.2222222222222
2018-06-17,1134.513888888889
2018-06-18,1252.2777777777778
2018-06-19,1310.888888888889
2018-06-20,1321.149825783972
2018-06-21,1325.545138888889
2018-06-22,1289.6145833333333
2018-06-23,1176.2222222222222
2018-06-24,1178.579861111111
2018-06-25,1282.2534722222222
2018-06-26,1327.0416666666667
2018-06-27,1335.9131944444443
2018-06-28,1337.4695340501792
2018-06-29,1271.5555555555557
2018-06-30,1158.611111111111
2018-07-01,1169.0902777777778
2018-07-02,1300.1597222222222
2018-07-03,1349.5243055555557
2018-07-04,1362.191637630662
2018-07-05,1386.701388888889
2018-07-06,1323.1944444444443
2018-07-07,1208.6493055555557
2018-07-08,1204.7465277777778
2018-07-09,1308.8993055555557
2018-07-10,1353.5243055555557
2018-07-11,1345.6597222222222
2018-07-12,1299.9409722222222
2018-07-13,1223.670138888889
2018-07-14,1133.1354166666667
2018-07-15,1148.2777777777778
2018-07-16,1230.1493055555557
2018-07-17,1242.9444444444443
2018-07-18,1261.7395833333333
2018-07-19,1269.1944444444443
2018-07-20,1230.1840277777778
2018-07-21,1107.7430555555557
2018-07-22,1106.3784722222222
2018-07-23,1177.5972222222222
2018-07-24,1191.1145833333333
2018-07-25,1190.21875
2018-07-26,1198.4305555555557
2018-07-27,1180.329861111111
2018-07-28,1112.6284722222222
2018-07-29,1133.09375
2018-07-30,1222.5416666666667
2018-07-31,1221.642361111111
2018-08-01,1196.3020833333333
2018-08-02,1202.53125
2018-08-03,1184.3090277777778
2018-08-04,1114.6145833333333
2018-08-05,1134.5590277777778
2018-08-06,1203.5868055555557
2018-08-07,1204.326388888889
2018-08-08,1203.7569444444443
2018-08-09,1207.7395833333333
2018-08-10,1180.5416666666667
2018-08-11,1134.6354166666667
2018-08-12,1153.0590277777778
2018-08-13,1209.6006944444443
2018-08-14,1191.1493055555557
2018-08-15,1141.076388888889
2018-08-16,1169.5104166666667
2018-08-17,1149.3159722222222
2018-08-18,1110.0868055555557
2018-08-19,1120.517361111111
2018-08-20,1212.6527777777778
2018-08-21,1260.4965277777778
2018-08-22,1270.9444444444443
2018-08-23,1236.0069444444443
2018-08-24,1196.236111111111
2018-08-25,1107.1875
2018-08-26,1112.8680555555557
2018-08-27,1204.7604166666667
2018-08-28,1226.6527777777778
2018-08-29,1236.8055555555557
2018-08-30,1242.6284722222222
2018-08-31,1209.78125
2018-09-01,1142.204861111111
2018-09-02,1153.03125
2018-09-03,1264.8229166666667
2018-09-04,1300.28125
2018-09-05,1306.1805555555557
2018-09-06,1327.8229166666667
2018-09-07,1283.107638888889
2018-09-08,1157.013888888889
2018-09-09,1158.5625
2018-09-10,1262.451388888889
2018-09-11,1299.767361111111
2018-09-12,1319.0659722222222
2018-09-13,1340.3541666666667
2018-09-14,1282.1631944444443
2018-09-15,1166.6354166666667
2018-09-16,1167.638888888889
2018-09-17,1284.826388888889
2018-09-18,1330.4583333333333
2018-09-19,1346.9409722222222
2018-09-20,1377.732638888889
2018-09-21,1321.7256944444443
2018-09-22,1221.9618055555557
2018-09-23,1234.7118055555557
2018-09-24,1346.5243055555557
2018-09-25,1371.7534722222222
2018-09-26,1375.0555555555557
2018-09-27,1337.0694444444443
2018-09-28,1275.670138888889
2018-09-29,1162.2430555555557
2018-09-30,1183.8090277777778
2018-10-01,1285.201388888889
2018-10-02,1329.8506944444443
2018-10-03,1322.920138888889
2018-10-04,1327.4965277777778
2018-10-05,1261.451388888889
2018-10-06,1180.2847222222222
2018-10-07,1172.9270833333333
2018-10-08,1307.6875
2018-10-09,1342.03125
2018-10-10,1309.326388888889
2018-10-11,1309.1666666666667
2018-10-12,1265.3645833333333
2018-10-13,1152.826388888889
2018-10-14,1171.111111111111
2018-10-15,1306.5555555555557
2018-10-16,1371.6909722222222
2018-10-17,1390.920138888889
2018-10-18,1368.240418118467
2018-10-19,1308.4965277777778
2018-10-20,1174.6458333333333
2018-10-21,1159.3333333333333
2018-10-22,1266.829861111111
2018-10-23,1299.9722222222222
2018-10-24,1305.8472222222222
2018-10-25,1283.9652777777778
2018-10-26,1239.9618055555557
2018-10-27,1144.8055555555557
2018-10-28,1154.487632508834
2018-10-29,1245.46875
2018-10-30,1282.7916666666667
2018-10-31,1288.5243055555557
2018-11-01,1226.4340277777778
2018-11-02,1242.0104166666667
2018-11-03,1186.6944444444443
2018-11-04,1200.3333333333333
2018-11-05,1308.4479166666667
2018-11-06,1343.4895833333333
